"","Var1","Var2","value"
"470","CPI","X1",0.199482979598195
"471","CPI","X1",0.040319360291564
"472","CPI","X1",-0.122675269652139
"473","CPI","X1",0.168751196671296
"474","CPI","X1",-0.0753568908414805
"475","CPI","X1",-0.163468463367361
"476","CPI","X1",-0.0623940519965147
"477","CPI","X1",0.0432882998119002
"478","CPI","X1",-0.11252273358814
"479","CPI","X1",0.174590523564108
"480","CPI","X1",0.224602534005421
"481","CPI","X1",-0.160927072389201
"482","CPI","X1",-0.200070984538436
"483","CPI","X1",0.0690117182280581
"484","CPI","X1",0.0676956882038932
"485","CPI","X1",-0.377883764749955
"486","CPI","X1",-0.189437522657714
"487","CPI","X1",-0.0945727694329402
"488","CPI","X1",0.12677902106437
"489","CPI","X1",0.135151272671137
"490","CPI","X1",-0.128048939718508
"491","CPI","X1",0.211965381927019
"492","CPI","X1",-0.193725213191196
"493","CPI","X1",0.0906666561509615
"494","CPI","X1",0.0236754596361413
"495","CPI","X1",-0.0456993405535138
"496","CPI","X1",-0.203306459949318
"497","CPI","X1",-0.159012921456996
"498","CPI","X1",-0.0297772858340115
"499","CPI","X1",0.00717345723660055
"500","CPI","X1",0.412061402905091
"501","CPI","X1",0.0732886836991284
"502","CPI","X1",0.141343035902837
"503","CPI","X1",0.480560142403683
"504","CPI","X1",-0.128460283243058
"505","CPI","X1",-0.121952722450091
"506","CPI","X1",0.293778389616044
"507","CPI","X1",0.230074416558776
"508","CPI","X1",-0.0732886736157571
"509","CPI","X1",-0.0739100009948825
"510","CPI","X1",0.221365836452264
"511","CPI","X1",-0.0771905806903292
"512","CPI","X1",0.203354414085542
"513","CPI","X1",0.12637705366731
"514","CPI","X1",0.413641887803324
"515","CPI","X1",-0.0109184922408338
"516","CPI","X1",-0.0846676966931524
"517","CPI","X1",0.23633169049465
"518","CPI","X1",-0.571221434538381
"519","CPI","X1",0.0235140380201488
"520","CPI","X1",-0.169710905552623
"521","CPI","X1",-0.0655861222129996
"522","CPI","X1",0.242921035945484
"523","CPI","X1",0.0962475454781673
"524","CPI","X1",-0.272205230363625
"525","CPI","X1",-0.120982228137962
"526","CPI","X1",0.0774445410152115
"527","CPI","X1",-0.0951398031194279
"528","CPI","X1",0.0730635666111059
"529","CPI","X1",0.0947048307405354
"530","CPI","X1",0.311120637762606
"531","CPI","X1",0.0170206585957868
"532","CPI","X1",-0.226552773929646
"533","CPI","X1",0.0476314441016596
"534","CPI","X1",0.0391575532284272
"535","CPI","X1",0.0714108097684747
"536","CPI","X1",0.122886914629932
"537","CPI","X1",-0.034028652756981
"538","CPI","X1",-0.0884152671826021
"539","CPI","X1",-0.306895716418047
"540","CPI","X1",-0.10239333955792
"541","CPI","X1",0.0787583359990779
"542","CPI","X1",0.0984172291138259
"543","CPI","X1",-0.0852885362636342
"544","CPI","X1",-0.0605678890278041
"545","CPI","X1",-0.415768578567391
"546","CPI","X1",-0.158110178308111
"547","CPI","X1",-0.114486545396676
"548","CPI","X1",0.0997313798587153
"549","CPI","X1",-0.17736196325307
"550","CPI","X1",0.279558969146524
"551","CPI","X1",-0.123811148926742
"552","CPI","X1",-0.0468849668108219
"553","CPI","X1",0.11725334401561
"554","CPI","X1",-0.0514295698784079
"555","CPI","X1",0.155153178228656
"556","CPI","X1",0.00298958318116371
"557","CPI","X1",0.00615537749569572
"558","CPI","X1",-0.38787011738919
"559","CPI","X1",-0.0943844546547318
"560","CPI","X1",-0.274704685305636
"561","CPI","X1",-0.25562886060429
"562","CPI","X1",-0.0194961637090157
"563","CPI","X1",-0.0673881713279017
"564","CPI","X1",-0.151905601074098
"565","CPI","X1",-0.344209085173929
"566","CPI","X1",-0.133275544103786
"567","CPI","X1",-0.130107229728765
"568","CPI","X1",-0.164662302418275
"569","CPI","X1",-0.361744567724381
"570","CPI","X1",-0.175984954997786
"571","CPI","X1",-0.000942630770349088
"572","CPI","X1",0.0150684124472927
"573","CPI","X1",-0.121195798075594
"574","CPI","X1",-0.127527654201326
"575","CPI","X1",-0.332886223982819
"576","CPI","X1",-0.0866134955146741
"577","CPI","X1",-0.0932528829917945
"578","CPI","X1",0.260002577166477
"579","CPI","X1",-0.0418461797428151
"580","CPI","X1",0.331606483951838
"581","CPI","X1",-0.106243331771416
"582","CPI","X1",0.0126955007780263
"583","CPI","X1",0.135049030688177
"584","CPI","X1",0.144529924457958
"585","CPI","X1",0.271104875604843
"586","CPI","X1",-0.0989786471856935
"587","CPI","X1",-0.0656785800952563
"588","CPI","X1",-0.0235316284968368
"589","CPI","X1",-0.0818541696392763
"590","CPI","X1",-0.0731387218165113
"591","CPI","X1",-0.247730591012677
"592","CPI","X1",-0.210591932813321
"593","CPI","X1",0.0855058051266445
"594","CPI","X1",0.0109869287283747
"595","CPI","X1",0.00617836465988608
"596","CPI","X1",0.2098549002329
"597","CPI","X1",0.0464592688452901
"598","CPI","X1",0.209776254192953
"599","CPI","X1",-0.0982440953394894
"600","CPI","X1",-0.0431865634457769
"601","CPI","X1",0.157902746503109
"602","CPI","X1",-0.114958882123711
"603","CPI","X1",0.118026145047703
"604","CPI","X1",-0.253609896028662
"605","CPI","X1",-0.0357040905206882
"606","CPI","X1",0.270301785902663
"607","CPI","X1",-0.126123550172739
"608","CPI","X1",-0.395413575751607
"609","CPI","X1",-0.138454664511757
"610","CPI","X1",-0.251191618007026
"611","CPI","X1",0.117427756748396
"612","CPI","X1",0.0134148833073994
"613","CPI","X1",-0.320481171187422
"614","CPI","X1",0.0950424634052502
"615","CPI","X1",-0.267706037881186
"616","CPI","X1",0.353790630881895
"617","CPI","X1",0.172969648639152
"618","CPI","X1",0.292361273394437
"619","CPI","X1",0.0775824476735942
"620","CPI","X1",0.0232687891217927
"621","CPI","X1",0.0682451037545016
"622","CPI","X1",0.0948030399071035
"623","CPI","X1",-0.260707133352633
"624","CPI","X1",-0.0957955165156279
"625","CPI","X1",0.0228835788414037
"626","CPI","X1",-0.100814831315502
"627","CPI","X1",-0.0318471056726927
"628","CPI","X1",-0.242088472597069
"629","CPI","X1",0.499658645775598
"630","CPI","X1",-0.210024589618024
"631","CPI","X1",0.389132649457929
"632","CPI","X1",0.0674848758431725
"633","CPI","X1",0.882872712670188
"634","CPI","X1",0.0688725667825711
"635","CPI","X1",0.131785813746467
"636","CPI","X1",0.10581660265922
"637","CPI","X1",-0.0237762135733588
"638","CPI","X1",-0.0233180915211012
"639","CPI","X1",-0.186482384950202
"640","CPI","X1",-0.0903884611404592
"641","CPI","X1",0.096775033717936
"642","CPI","X1",0.242164694605241
"643","CPI","X1",0.0318821902775305
"644","CPI","X1",0.449737652830547
"645","CPI","X1",0.095494799229887
"646","CPI","X1",-0.0267934618046149
"647","CPI","X1",0.121473242615484
"648","CPI","X1",0.073400090940287
"649","CPI","X1",0.333314016509839
"650","CPI","X1",-0.322610177949617
"651","CPI","X1",-0.131786202527284
"652","CPI","X1",-0.0623893868544808
"653","CPI","X1",0.0326953094150889
"654","CPI","X1",-0.0857681186482689
"655","CPI","X1",-0.157849016132816
"656","CPI","X1",0.0476845590710868
"657","CPI","X1",-0.0139780201404369
"658","CPI","X1",-0.0959482668595809
"659","CPI","X1",-0.00367902227671114
"660","CPI","X1",0.0462045610404059
"661","CPI","X1",0.0997089891925835
"662","CPI","X1",0.230417767119729
"663","CPI","X1",0.135325654958884
"664","CPI","X1",-0.401683318600757
"665","CPI","X1",-0.801759530148117
"666","CPI","X1",0.025227499089472
"667","CPI","X1",0.00824910320619726
"668","CPI","X1",0.152941419861425
"669","CPI","X1",-0.131391185711511
"670","CPI","X1",-0.0410889439850124
"671","CPI","X1",0.41287519441042
"672","CPI","X1",0.405290514628317
"673","CPI","X1",-0.103302588994601
"674","CPI","X1",0.0358809504545798
"675","CPI","X1",0.0658603955043047
"676","CPI","X1",-0.0478500420612528
"677","CPI","X1",0.0296229656883838
"678","CPI","X1",0.198896629216047
"679","CPI","X1",0.396681516665539
"680","CPI","X1",-0.19174125674303
"681","CPI","X1",0.0555697651434113
"682","CPI","X1",-0.151541373051613
"683","CPI","X1",0.303870142394508
"684","CPI","X1",0.214528508050167
"685","CPI","X1",-0.0918825676410802
"686","CPI","X1",0.506449359550385
"687","CPI","X1",0.0786058376753924
"688","CPI","X1",0.319003772544451
"689","CPI","X1",-0.374051876799025
"690","CPI","X1",0.0319907576130148
"691","CPI","X1",0.0800240025480748
"692","CPI","X1",0.175020387410701
"693","CPI","X1",-0.673137535965102
"694","CPI","X1",-0.134837035663278
"695","CPI","X1",-0.0558388782565918
"696","CPI","X1",-0.126828676650253
"697","CPI","X1",-0.125466277671326
"698","CPI","X1",-0.107129183256172
"699","CPI","X1",0.278879770489249
"700","CPI","X1",0.162906808400325
"701","CPI","X1",-0.0954338811558211
"702","CPI","X1",-0.1935545726733
"703","CPI","X1",-0.322674548440912
"704","CPI","X1",-0.122785472123222
"705","CPI","X1",0.17499891643256
"706","CPI","X1",-0.195434321727686
"707","CPI","X1",0.0803205517545335
"708","CPI","X1",0.469122119900614
"709","CPI","X1",-0.14369101750109
"710","CPI","X1",0.130448764947866
"711","CPI","X1",-0.29081916633811
"712","CPI","X1",-0.0627066762045334
"713","CPI","X1",-0.437363972479434
"714","CPI","X1",0.101210000685204
"715","CPI","X1",-0.721051438487631
"716","CPI","X1",-0.0653372372094417
"717","CPI","X1",-0.366786286149912
"718","CPI","X1",-0.122180978602965
"719","CPI","X1",-0.235402442964669
"720","CPI","X1",0.0105646363253502
"721","CPI","X1",-0.0858280485303706
"722","CPI","X1",0.0984101750621107
"723","CPI","X1",0.250902238927836
"724","CPI","X1",-0.0478155675439974
"725","CPI","X1",0.108722901397365
"726","CPI","X1",0.146437813979969
"727","CPI","X1",0.30986840624789
"728","CPI","X1",0.172258126813198
"729","CPI","X1",-0.266034253386474
"730","CPI","X1",0.28068640492978
"731","CPI","X1",-0.220498623255785
"732","CPI","X1",-0.086639656026263
"733","CPI","X1",0.26090492672366
"734","CPI","X1",-0.193167466874472
"735","CPI","X1",0.105102031727762
"736","CPI","X1",-0.0738752230021111
"737","CPI","X1",0.281954895296711
